Node1,Node2
longest,possible
possible,train
train,journey
journey,world
world,portugal
portugal,singapore
reported,expert
expert,discovered
discovered,butterfly
butterfly,taste
taste,foot
told,expert
expert,discovered
discovered,birth
birth,baby
baby,panda
panda,smaller
smaller,mouse
claimed,expert
expert,discovered
discovered,one
one,fourth
fourth,sahara
sahara,desert
desert,sandy
mentioned,expert
expert,revealed
revealed,first
first,glove
glove,used
used,american
american,sport
sport,baseball
baseball,fingerless
mentioned,expert
expert,revealed
revealed,town
town,calama
calama,chile
chile,never
never,experienced
experienced,rain
told,expert
expert,revealed
revealed,microbe
microbe,sahara
sahara,desert
desert,help
help,feed
feed,amazon
amazon,rainforest
told,expert
expert,revealed
revealed,common
common,garden
garden,snail
snail,12
12,000
000,teeth
claimed,expert
expert,revealed
revealed,armadillo
armadillo,bulletproof
bulletproof,shell
colleague,reported
reported,medium
medium,discovered
discovered,captive
captive,raven
raven,speak
speak,better
better,parrot
colleague,told
told,medium
medium,discovered
discovered,one
one,strand
strand,hair
hair,hold
hold,3
3,ounce
ounce,weight
colleague,told
told,medium
medium,discovered
discovered,leech
leech,historically
historically,used
used,predict
predict,weather
colleague,mentioned
mentioned,medium
medium,revealed
revealed,170
170,year
year,old
old,champagne
champagne,found
found,baltic
baltic,sea
colleague,reported
reported,medium
medium,revealed
revealed,longest
longest,recorded
recorded,cricket
cricket,match
match,lasted
lasted,14
14,day
colleague,claimed
claimed,medium
medium,revealed
revealed,neptune
neptune,wind
wind,fastest
fastest,solar
solar,system
friend,learned
learned,online
online,mercury
mercury,venus
venus,2
2,planet
planet,solar
solar,system
system,moon
friend,learned
learned,online
online,claim
claim,new
new,zealander
zealander,pet
pet,per
per,household
household,country
friend,learned
learned,internet
internet,forum
forum,scottish
scottish,first
first,people
people,fry
fry,chicken
friend,learned
learned,internet
internet,forum
forum,claim
claim,might
might,huge
huge,planet
planet,solar
solar,system
friend,learned
learned,medium
medium,sound
sound,actually
actually,travel
travel,space
friend,learned
learned,medium
medium,claim
claim,90
90,world
world,data
data,generated
generated,2019
friend,learned
learned,social
social,medium
medium,shape
shape,26
26,side
side,known
known,rhombicuboctahedron
friend,learned
learned,social
social,medium
medium,claim
claim,productive
productive,work
work,day
day,week
week,tuesday
friend,learned
learned,social
social,medium
medium,claim
claim,full
full,jumbo
jumbo,jet
jet,tank
tank,enough
enough,fuel
fuel,drive
drive,car
car,around
around,world
world,four
four,time
friend,learned
learned,social
social,medium
medium,claim
claim,flossing
flossing,teeth
teeth,improves
improves,memory
friend,learned
learned,discussion
discussion,board
board,claim
claim,common
common,garden
garden,snail
snail,12
12,000
000,teeth
friend,learned
learned,discussion
discussion,board
board,claim
claim,bent
bent,joint
joint,leg
leg,flamingo
flamingo,ankle
friend,learned
learned,news
news,lemur
lemur,previously
previously,size
size,gorilla
friend,learned
learned,news
news,claim
claim,average
average,user
user,spends
spends,40
40,day
day,internet
friend,learned
learned,medium
medium,claim
claim,ketchup
ketchup,leaf
leaf,bottle
bottle,measured
measured,speed
speed,25
25,mile
mile,per
per,year
friend,read
read,online
online,claim
claim,starting
starting,1990
1990,american
american,basketball
basketball,player
player,michael
michael,jordan
jordan,chicago
chicago,bull
bull,never
never,three
three,game
game,losing
losing,streak
streak,eight
eight,year
friend,read
read,online
online,claim
claim,sound
sound,knuckle
knuckle,cracking
cracking,actually
actually,gas
gas,released
released,pressure
pressure,put
friend,read
read,medium
medium,damascus
damascus,oldest
oldest,continuously
continuously,inhabited
inhabited,city
city,world
friend,read
read,medium
medium,claim
claim,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
friend,read
read,social
social,medium
medium,dolphin
dolphin,mammal
friend,read
read,social
social,medium
medium,sneezing
sneezing,traveling
traveling,60
60,mph
mph,make
make,close
close,eye
eye,50
50,foot
friend,read
read,social
social,medium
medium,claim
claim,vinyl
vinyl,record
record,sale
sale,surpass
surpass,compact
compact,disc
disc,sale
friend,read
read,discussion
discussion,board
board,claim
claim,origin
origin,banjo
banjo,instrument
instrument,begin
begin,africa
friend,read
read,website
website,claim
claim,average
average,car
car,contains
contains,30000
30000,unique
unique,part
friend,read
read,news
news,12
12,plant
plant,5
5,animal
animal,make
make,75
75,diet
diet,around
around,world
friend,read
read,news
news,claim
claim,would
would,take
take,258
258,earth
earth,day
day,drive
drive,around
around,one
one,saturn
saturn,ring
ring,speed
speed,75
75,mph
friend,read
read,news
news,claim
claim,sun
sun,take
take,one
one,earth
earth,month
month,make
make,full
full,rotation
friend,read
read,medium
medium,shanghai
shanghai,china
china,world
world,longest
longest,subway
subway,system
friend,read
read,medium
medium,claim
claim,almost
almost,1
1,16
16,billion
billion,website
website,200
200,million
million,active
friend,read
read,medium
medium,claim
claim,6
6,000
000,specie
specie,grass
someone,learned
learned,online
online,windshield
windshield,wiper
wiper,invented
invented,1905
someone,learned
learned,medium
medium,business
business,owned
owned,woman
woman,men
men,2045
someone,learned
learned,social
social,medium
medium,90
90,world
world,data
data,generated
generated,2019
someone,learned
learned,social
social,medium
medium,claim
claim,car
car,radio
radio,first
first,introduced
introduced,1922
someone,learned
learned,social
social,medium
medium,claim
claim,half
half,world
world,population
population,access
access,web
web,via
via,mobile
mobile,device
someone,learned
learned,social
social,medium
medium,claim
claim,child
child,world
world,born
born,thursday
someone,learned
learned,discussion
discussion,board
board,claim
claim,artificial
artificial,banana
banana,flavoring
flavoring,based
based,extinct
extinct,banana
banana,type
someone,learned
learned,discussion
discussion,board
board,claim
claim,roar
roar,lion
lion,heard
heard,5
5,mile
mile,away
someone,learned
learned,website
website,claim
claim,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
someone,learned
learned,medium
medium,claim
claim,baked
baked,bean
bean,actually
actually,baked
someone,learned
learned,medium
medium,claim
claim,leech
leech,historically
historically,used
used,predict
predict,weather
someone,read
read,online
online,chicken
chicken,closest
closest,relative
relative,rex
someone,read
read,online
online,claim
claim,4
4,top
top,10
10,highest
highest,paid
paid,atheletes
atheletes,world
world,player
player,american
american,national
national,basketball
basketball,assocation
assocation,nba
someone,read
read,medium
medium,first
first,cruise
cruise,ship
ship,set
set,sail
sail,1900
someone,read
read,medium
medium,longest
longest,recorded
recorded,tennis
tennis,match
match,lasted
lasted,11
11,hour
someone,read
read,social
social,medium
medium,watched
watched,summer
summer,olympics
olympics,event
event,past
past,20
20,year
year,gymnastics
someone,read
read,social
social,medium
medium,around
around,50
50,mined
mined,gold
gold,earth
earth,come
come,one
one,source
someone,read
read,social
social,medium
medium,claim
claim,one
one,armed
armed,player
player,scored
scored,winning
winning,goal
goal,first
first,soccer
soccer,tournament
tournament,world
world,cup
cup,1930
someone,read
read,social
social,medium
medium,claim
claim,earth
earth,hold
hold,11
11,quintillion
quintillion,pound
pound,air
someone,read
read,discussion
discussion,board
board,black
black,cat
cat,good
good,luck
luck,britain
britain,japan
someone,read
read,website
website,pound
pound,housefly
housefly,contains
contains,protein
protein,pound
pound,beef
someone,read
read,website
website,claim
claim,automotive
automotive,industry
industry,employ
employ,9
9,9
9,million
million,american
someone,read
read,news
news,smelling
smelling,green
green,apple
apple,help
help,weight
weight,loss
someone,read
read,news
news,claim
claim,tree
tree,melbourne
melbourne,email
email,address
someone,read
read,news
news,claim
claim,first
first,commercial
commercial,airplane
airplane,flight
flight,lasted
lasted,23
23,minute
someone,read
read,medium
medium,claim
claim,cannonball
cannonball,first
first,object
object,thrown
thrown,international
international,shot
shot,put
put,event
event,early
early,1900s
learned,online
online,elasticity
elasticity,rubber
rubber,band
band,last
last,much
much,longer
longer,refrigerated
learned,internet
internet,forum
forum,12
12,plant
plant,5
5,animal
animal,make
make,75
75,diet
diet,around
around,world
learned,internet
internet,forum
forum,claim
claim,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
learned,medium
medium,triskaidekaphobia
triskaidekaphobia,fear
fear,number
number,13
learned,medium
medium,claim
claim,starting
starting,1990
1990,american
american,basketball
basketball,player
player,michael
michael,jordan
jordan,chicago
chicago,bull
bull,never
never,three
three,game
game,losing
losing,streak
streak,eight
eight,year
learned,medium
medium,claim
claim,snake
snake,predict
predict,earthquake
learned,social
social,medium
medium,largest
largest,living
living,thing
thing,earth
earth,tree
learned,social
social,medium
medium,claim
claim,90
90,good
good,shipped
shipped,ocean
ocean,freight
learned,social
social,medium
medium,claim
claim,car
car,horn
horn,honk
honk,key
key,f
learned,social
social,medium
medium,claim
claim,would
would,take
take,258
258,earth
earth,day
day,drive
drive,around
around,one
one,saturn
saturn,ring
ring,speed
speed,75
75,mph
learned,discussion
discussion,board
board,dolphin
dolphin,mammal
learned,website
website,582
582,million
million,entrepreneur
entrepreneur,world
learned,website
website,claim
claim,captive
captive,raven
raven,speak
speak,better
better,parrot
learned,news
news,india
india,train
train,transport
transport,roughly
roughly,23
23,million
million,passenger
passenger,day
learned,news
news,double
double,rainbow
rainbow,mirror
mirror,image
image,first
first,rainbow
learned,news
news,claim
claim,japan
japan,considered
considered,good
good,luck
luck,sumo
sumo,wrestler
wrestler,make
make,baby
baby,cry
learned,news
news,claim
claim,strawberry
strawberry,known
known,fruit
fruit,grow
grow,seed
seed,externally
learned,medium
medium,busiest
busiest,airport
airport,world
world,united
united,state
learned,medium
medium,adult
adult,cat
cat,meow
meow,human
learned,medium
medium,claim
claim,highest
highest,total
total,mileage
mileage,clocked
clocked,single
single,car
car,2850000
2850000,million
million,mile
learned,medium
medium,claim
claim,full
full,jumbo
jumbo,jet
jet,tank
tank,enough
enough,fuel
fuel,drive
drive,car
car,around
around,world
world,four
four,time
learned,medium
medium,claim
claim,penguin
penguin,jump
jump,high
high,9
9,foot
foot,air
learned,medium
medium,claim
claim,apple
apple,seed
seed,contain
contain,cyanide
learned,medium
medium,claim
claim,playing
playing,dance
dance,music
music,help
help,ward
ward,mosquito
read,online
online,claim
claim,blue
blue,whale
whale,eat
eat,500
500,000
000,calorie
calorie,1
1,mouthful
mouthful,average
read,internet
internet,forum
forum,claim
claim,12
12,plant
plant,5
5,animal
animal,make
make,75
75,diet
diet,around
around,world
read,medium
medium,hummingbird
hummingbird,bird
bird,fly
fly,backwards
read,medium
medium,sound
sound,knuckle
knuckle,cracking
cracking,actually
actually,gas
gas,released
released,pressure
pressure,put
read,medium
medium,claim
claim,every
every,three
three,second
second,birth
birth,taking
taking,place
place,somewhere
somewhere,world
read,social
social,medium
medium,99
99,individual
individual,denmark
denmark,ireland
ireland,united
united,arab
arab,emirate
emirate,internet
internet,access
read,social
social,medium
medium,single
single,day
day,venus
venus,take
take,243
243,earth
earth,day
read,discussion
discussion,board
board,average
average,car
car,contains
contains,30000
30000,unique
unique,part
read,discussion
discussion,board
board,full
full,jumbo
jumbo,jet
jet,tank
tank,enough
enough,fuel
fuel,drive
drive,car
car,around
around,world
world,four
four,time
read,website
website,sweden
sweden,island
island,country
read,website
website,claim
claim,violin
violin,constructed
constructed,70
70,individual
individual,wooden
wooden,piece
read,news
news,violin
violin,bow
bow,made
made,horsehair
read,news
news,claim
claim,bee
bee,fly
fly,higher
higher,mount
mount,everest
read,medium
medium,take
take,restaurant
restaurant,found
found,remains
remains,pompeii
colleague,learned
learned,online
online,japanese
japanese,word
word,karaoke
karaoke,come
come,phrase
phrase,meaning
meaning,empty
empty,orchestra
colleague,learned
learned,online
online,singapore
singapore,fastest
fastest,internet
internet,connectivity
connectivity,world
colleague,learned
learned,online
online,opposite
opposite,side
side,dice
dice,always
always,equal
equal,7
colleague,learned
learned,online
online,claim
claim,day
day,mar
mar,length
length,earth
colleague,learned
learned,online
online,claim
claim,q
q,letter
letter,appear
appear,u
u,state
state,name
colleague,learned
learned,internet
internet,forum
forum,claim
claim,saturn
saturn,le
le,dense
dense,water
colleague,learned
learned,medium
medium,longest
longest,recorded
recorded,cricket
cricket,match
match,lasted
lasted,14
14,day
colleague,learned
learned,medium
medium,fit
fit,400
400,grapevine
grapevine,one
one,acre
acre,land
colleague,learned
learned,medium
medium,claim
claim,busiest
busiest,airport
airport,world
world,united
united,state
colleague,learned
learned,medium
medium,claim
claim,q
q,letter
letter,appear
appear,u
u,state
state,name
colleague,learned
learned,social
social,medium
medium,drone
drone,delivery
delivery,already
already,happening
happening,become
become,common
common,2025
colleague,learned
learned,social
social,medium
medium,dog
dog,sense
sense,smell
smell,much
much,powerful
powerful,human
colleague,learned
learned,social
social,medium
medium,australia
australia,number
number,venomous
venomous,snake
snake,worldwide
colleague,learned
learned,discussion
discussion,board
board,claim
claim,population
population,united
united,state
state,increase
increase,one
one,person
person,every
every,12
12,second
colleague,learned
learned,website
website,would
would,take
take,le
le,month
month,get
get,moon
moon,car
car,60mph
colleague,learned
learned,website
website,would
would,take
take,50
50,petabyte
petabyte,drive
drive,store
store,every
every,written
written,work
work,ever
ever,created
colleague,learned
learned,website
website,human
human,eyeball
eyeball,grow
grow,change
change,size
size,age
colleague,learned
learned,website
website,claim
claim,60
60,world
world,population
population,access
access,internet
colleague,learned
learned,news
news,hottest
hottest,planet
planet,solar
solar,system
system,venus
colleague,learned
learned,news
news,star
star,universe
universe,grain
grain,sand
sand,earth
colleague,read
read,social
social,medium
medium,heart
heart,beat
beat,100
100,000
000,time
time,day
colleague,read
read,social
social,medium
medium,cold
cold,water
water,cleansing
cleansing,hot
hot,water
colleague,read
read,social
social,medium
medium,claim
claim,penguin
penguin,jump
jump,high
high,9
9,foot
foot,air
colleague,read
read,discussion
discussion,board
board,claim
claim,neptune
neptune,radiates
radiates,heat
heat,get
get,sun
colleague,read
read,website
website,moon
moon,crater
crater,might
might,coldest
coldest,place
place,solar
solar,system
colleague,read
read,website
website,claim
claim,microorganism
microorganism,one
one,teaspoon
teaspoon,soil
soil,people
people,planet
colleague,read
read,website
website,claim
claim,banana
banana,get
get,curved
curved,shape
shape,growing
growing,towards
towards,sun
colleague,read
read,website
website,claim
claim,violin
violin,bow
bow,made
made,horsehair
colleague,read
read,news
news,penguin
penguin,jump
jump,high
high,9
9,foot
foot,air
colleague,read
read,news
news,claim
claim,scottish
scottish,first
first,people
people,fry
fry,chicken
colleague,read
read,medium
medium,buttermilk
buttermilk,contain
contain,butter
colleague,read
read,medium
medium,claim
claim,modern
modern,formula
formula,1
1,racing
racing,car
car,drive
drive,upside
upside,tunnel
tunnel,120mph
friend,read
read,study
study,mentioning
mentioning,flossing
flossing,teeth
teeth,improves
improves,memory
friend,encountered
encountered,study
study,mentioning
mentioning,two
two,teeth
teeth,different
different,people
people,ever
ever,alike
friend,discovered
discovered,study
study,mentioning
mentioning,pineapple
pineapple,plant
plant,produce
produce,one
one,pineapple
pineapple,year
someone,discovered
discovered,report
report,mentioning
mentioning,windshield
windshield,wiper
wiper,invented
invented,1905
someone,discovered
discovered,report
report,mentioning
mentioning,outerspace
outerspace,partly
partly,smell
smell,like
like,diesel
diesel,fuel
fuel,barbeque
someone,discovered
discovered,report
report,mentioning
mentioning,6
6,000
000,specie
specie,grass
someone,discovered
discovered,report
report,claiming
claiming,iceland
iceland,growing
growing,5
5,centimeter
centimeter,per
per,year
read,story
story,mentioning
mentioning,largest
largest,prime
prime,number
number,17
17,425
425,170
170,digit
encountered,story
story,claiming
claiming,london
london,england
england,world
world,oldest
oldest,subway
subway,system
encountered,story
story,claiming
claiming,outerspace
outerspace,partly
partly,smell
smell,like
like,diesel
diesel,fuel
fuel,barbeque
discovered,story
story,mentioning
mentioning,60
60,world
world,population
population,access
access,internet
discovered,story
story,mentioning
mentioning,chinese
chinese,began
began,document
document,halley
halley,comet
comet,240
240,b
b,c
colleague,read
read,article
article,claiming
claiming,drone
drone,delivery
delivery,already
already,happening
happening,become
become,common
common,2025
colleague,read
read,article
article,claiming
claiming,netherlands
netherlands,home
home,population
population,tallest
tallest,human
human,earth
colleague,located
located,article
article,mentioning
mentioning,cactus
cactus,spine
spine,used
used,make
make,hook
colleague,located
located,article
article,claiming
claiming,opposite
opposite,side
side,dice
dice,always
always,equal
equal,7
colleague,discovered
discovered,article
article,mentioning
mentioning,neptune
neptune,first
first,planet
planet,discovered
discovered,seen
seen,telescope
colleague,discovered
discovered,article
article,claiming
claiming,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
colleague,discovered
discovered,article
article,claiming
claiming,australia
australia,number
number,venomous
venomous,snake
snake,worldwide
friend,discovered
discovered,tv
tv,full
full,jumbo
jumbo,jet
jet,tank
tank,enough
enough,fuel
fuel,drive
drive,car
car,around
around,world
world,four
four,time
friend,discovered
discovered,radio
radio,frigate
frigate,bird
bird,sleep
sleep,flying
someone,discovered
discovered,news
news,cheetah
cheetah,fastest
fastest,land
land,animal
animal,earth
someone,discovered
discovered,tv
tv,claim
claim,new
new,element
element,discovered
discovered,outside
outside,periodic
periodic,table
someone,discovered
discovered,tv
tv,claim
claim,marie
marie,curie
curie,person
person,two
two,nobel
nobel,prize
prize,different
different,science
someone,discovered
discovered,tv
tv,claim
claim,birth
birth,baby
baby,panda
panda,smaller
smaller,mouse
someone,discovered
discovered,radio
radio,snake
snake,predict
predict,earthquake
someone,discovered
discovered,radio
radio,claim
claim,would
would,take
take,le
le,month
month,get
get,moon
moon,car
car,60mph
someone,discovered
discovered,radio
radio,claim
claim,redwood
redwood,tallest
tallest,tree
discovered,tv
tv,world
world,largest
largest,pyramid
pyramid,cannot
cannot,found
found,egypt
discovered,tv
tv,claim
claim,outerspace
outerspace,partly
partly,smell
smell,like
like,diesel
diesel,fuel
fuel,barbeque
discovered,radio
radio,apple
apple,seed
seed,contain
contain,cyanide
discovered,radio
radio,claim
claim,car
car,horn
horn,honk
honk,key
key,f
discovered,radio
radio,claim
claim,snail
snail,sleep
sleep,three
three,year
colleague,discovered
discovered,news
news,fewer
fewer,star
star,sky
sky,tree
tree,earth
colleague,discovered
discovered,news
news,claim
claim,leech
leech,historically
historically,used
used,predict
predict,weather
colleague,discovered
discovered,tv
tv,largest
largest,living
living,thing
thing,earth
earth,tree
colleague,discovered
discovered,radio
radio,claim
claim,average
average,british
british,driver
driver,spend
spend,around
around,99
99,day
day,life
life,stuck
stuck,traffic
colleague,discovered
discovered,radio
radio,claim
claim,longest
longest,location
location,name
name,planet
planet,earth
earth,85
85,letter
letter,english
colleague,discovered
discovered,radio
radio,claim
claim,deck
deck,card
card,king
king,heart
heart,king
king,without
without,mustache
think,fly
fly,individual
individual,jetpacks
jetpacks,2032
think,drone
drone,delivery
delivery,already
already,happening
happening,become
become,common
common,2025
think,chinese
chinese,began
began,document
document,halley
halley,comet
comet,240
240,b
b,c
think,australia
australia,wider
wider,moon
think,china
china,owns
owns,panda
panda,world
think,people
people,sneeze
sneeze,sleep
think,million
million,tree
tree,estimated
estimated,planted
planted,squirrel
squirrel,forgot
forgot,buried
buried,nut
think,red
red,billed
billed,quelea
quelea,common
common,bird
bird,earth
think,human
human,likely
likely,weird
weird,scary
scary,dream
dream,sleeping
sleeping,stomach
think,flossing
flossing,teeth
teeth,improves
improves,memory
think,shape
shape,26
26,side
side,known
known,rhombicuboctahedron
believe,american
american,industrialist
industrialist,andrew
andrew,carnegie
carnegie,net
net,worth
worth,475
475,million
million,usd
usd,worth
worth,300
300,billion
billion,usd
usd,today
believe,90
90,driver
driver,admit
admit,singing
singing,car
believe,automotive
automotive,industry
industry,employ
employ,9
9,9
9,million
million,american
believe,world
world,championship
championship,throwing
throwing,mobile
mobile,phone
believe,artificial
artificial,banana
banana,flavoring
flavoring,based
based,extinct
extinct,banana
banana,type
believe,people
people,sneeze
sneeze,sleep
believe,population
population,united
united,state
state,increase
increase,one
one,person
person,every
every,12
12,second
believe,human
human,ear
ear,nose
nose,never
never,stop
stop,growing
believe,job
job,field
field,agriculture
agriculture,prevalent
prevalent,type
type,job
job,world
believe,12
12,plant
plant,5
5,animal
animal,make
make,75
75,diet
diet,around
around,world
understand,average
average,human
human,child
child,developing
developing,body
body,300
300,bone
bone,adulthood
adulthood,206
understand,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
understand,modern
modern,formula
formula,1
1,racing
racing,car
car,drive
drive,upside
upside,tunnel
tunnel,120mph
understand,highest
highest,total
total,mileage
mileage,clocked
clocked,single
single,car
car,2850000
2850000,million
million,mile
understand,first
first,modern
modern,olympics
olympics,winner
winner,awarded
awarded,silver
silver,medal
understand,busiest
busiest,airport
airport,world
world,united
united,state
understand,neptune
neptune,wind
wind,fastest
fastest,solar
solar,system
understand,people
people,born
born,2
2,natural
natural,fear
fear,fear
fear,falling
falling,fear
fear,loud
loud,sound
understand,single
single,lightning
lightning,bolt
bolt,enough
enough,energy
energy,toast
toast,100
100,000
000,slice
slice,bread
understand,cactus
cactus,spine
spine,used
used,make
make,hook
understand,frigate
frigate,bird
bird,sleep
sleep,flying
understand,largest
largest,living
living,thing
thing,earth
earth,tree
feel,damascus
damascus,oldest
oldest,continuously
continuously,inhabited
inhabited,city
city,world
feel,car
car,horn
horn,honk
honk,key
key,f
feel,modern
modern,formula
formula,1
1,racing
racing,car
car,drive
drive,upside
upside,tunnel
tunnel,120mph
feel,90
90,driver
driver,admit
admit,singing
singing,car
feel,vinyl
vinyl,record
record,sale
sale,surpass
surpass,compact
compact,disc
disc,sale
feel,violin
violin,constructed
constructed,70
70,individual
individual,wooden
wooden,piece
feel,japanese
japanese,word
word,karaoke
karaoke,come
come,phrase
phrase,meaning
meaning,empty
empty,orchestra
feel,half
half,world
world,population
population,access
access,web
web,via
via,mobile
mobile,device
feel,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
feel,badminton
badminton,fastest
fastest,ball
ball,net
net,sport
sport,world
feel,pluto
pluto,could
could,theoretically
theoretically,sustain
sustain,life
feel,snail
snail,sleep
sleep,three
three,year
feel,ancient
ancient,egyptian
egyptian,slept
slept,pillow
pillow,made
made,stone
feel,q
q,letter
letter,appear
appear,u
u,state
state,name
feel,lemur
lemur,previously
previously,size
size,gorilla
feel,largest
largest,living
living,thing
thing,earth
earth,tree
family,think
think,dubai
dubai,island
island,created
created,human
family,think
think,singapore
singapore,fastest
fastest,internet
internet,connectivity
connectivity,world
family,think
think,cheetah
cheetah,fastest
fastest,land
land,animal
animal,earth
family,think
think,year
year,asteroid
asteroid,size
size,car
car,enters
enters,earth
earth,atmosphere
family,think
think,marie
marie,curie
curie,person
person,two
two,nobel
nobel,prize
prize,different
different,science
family,think
think,bent
bent,joint
joint,leg
leg,flamingo
flamingo,ankle
family,think
think,season
season,reindeer
reindeer,eye
eye,change
change,color
family,think
think,australia
australia,number
number,venomous
venomous,snake
snake,worldwide
family,think
think,birth
birth,baby
baby,panda
panda,smaller
smaller,mouse
family,think
think,human
human,ear
ear,nose
nose,never
never,stop
stop,growing
family,think
think,driving
driving,south
south,detroit
detroit,lead
lead,canada
family,think
think,people
people,speak
speak,english
english,second
second,language
language,use
use,primary
primary,language
family,think
think,banana
banana,get
get,curved
curved,shape
shape,growing
growing,towards
towards,sun
family,belief
belief,yellowstone
yellowstone,national
national,park
park,home
home,supervolcano
family,belief
belief,90
90,good
good,shipped
shipped,ocean
ocean,freight
family,belief
belief,would
would,take
take,50
50,petabyte
petabyte,drive
drive,store
store,every
every,written
written,work
work,ever
ever,created
family,belief
belief,mercury
mercury,venus
venus,2
2,planet
planet,solar
solar,system
system,moon
family,belief
belief,volcano
volcano,olympus
olympus,mon
mon,mar
mar,3
3,time
time,taller
taller,mount
mount,everest
family,belief
belief,day
day,mar
mar,length
length,earth
family,belief
belief,sun
sun,take
take,one
one,earth
earth,month
month,make
make,full
full,rotation
family,belief
belief,human
human,taste
taste,food
food,without
without,saliva
family,belief
belief,billion
billion,egg
egg,produced
produced,commercially
commercially,year
family,belief
belief,child
child,world
world,born
born,thursday
family,belief
belief,bottled
bottled,water
water,expiration
expiration,date
family,understands
understands,oldest
oldest,playable
playable,musical
musical,instrument
instrument,found
found,china
family,understands
understands,violin
violin,constructed
constructed,70
70,individual
individual,wooden
wooden,piece
family,understands
understands,biggest
biggest,passenger
passenger,bus
bus,world
world,operates
operates,brazil
family,understands
understands,adult
adult,cat
cat,meow
meow,human
family,understands
understands,neptune
neptune,radiates
radiates,heat
heat,get
get,sun
family,understands
understands,human
human,taste
taste,food
food,without
without,saliva
family,understands
understands,human
human,likely
likely,weird
weird,scary
scary,dream
dream,sleeping
sleeping,stomach
family,understands
understands,sound
sound,knuckle
knuckle,cracking
cracking,actually
actually,gas
gas,released
released,pressure
pressure,put
family,understands
understands,12
12,plant
plant,5
5,animal
animal,make
make,75
75,diet
