Node1,Node2
someone,shared
shared,longest
longest,location
location,name
name,planet
planet,earth
earth,85
85,letter
letter,english
someone,shared
shared,red
red,billed
billed,quelea
quelea,common
common,bird
bird,earth
someone,shared
shared,japan
japan,considered
considered,good
good,luck
luck,sumo
sumo,wrestler
wrestler,make
make,baby
baby,cry
someone,shared
shared,bubble
bubble,wrap
wrap,originally
originally,designed
designed,used
used,wallpaper
someone,shared
shared,human
human,jumped
jumped,horse
horse,olympics
someone,shared
shared,one
one,armed
armed,player
player,scored
scored,winning
winning,goal
goal,first
first,soccer
soccer,tournament
tournament,world
world,cup
cup,1930
someone,shared
shared,job
job,field
field,agriculture
agriculture,prevalent
prevalent,type
type,job
job,world
someone,shared
shared,eye
eye,ostrich
ostrich,bigger
bigger,brain
someone,shared
shared,largest
largest,pair
pair,eye
eye,world
world,belongs
belongs,giant
giant,squid
someone,shared
shared,buttermilk
buttermilk,contain
contain,butter
someone,shared
shared,one
one,strand
strand,hair
hair,hold
hold,3
3,ounce
ounce,weight
someone,shared
shared,bottled
bottled,water
water,expiration
expiration,date
someone,shared
shared,driving
driving,south
south,detroit
detroit,lead
lead,canada
someone,shared
shared,sea
sea,otter
otter,born
born,unable
unable,swim
someone,shared
shared,apple
apple,seed
seed,contain
contain,cyanide
someone,shared
shared,alaska
alaska,u
u,state
state,whose
whose,name
name,typed
typed,single
single,row
row,american
american,standard
standard,keyboard
someone,shared
shared,20
20,power
power,outage
outage,u
u,due
due,squirrel
squirrel,chewing
chewing,line
someone,shared
shared,largest
largest,living
living,thing
thing,earth
earth,tree
someone,shared
shared,ketchup
ketchup,leaf
leaf,bottle
bottle,measured
measured,speed
speed,25
25,mile
mile,per
per,year
someone,shared
shared,town
town,calama
calama,chile
chile,never
never,experienced
experienced,rain
friend,shared
shared,friend
friend,yellowstone
yellowstone,national
national,park
park,home
home,supervolcano
friend,shared
shared,friend
friend,largest
largest,rock
rock,earth
earth,australia
friend,shared
shared,friend
friend,average
average,british
british,driver
driver,spend
spend,around
around,99
99,day
day,life
life,stuck
stuck,traffic
friend,shared
shared,friend
friend,windshield
windshield,wiper
wiper,invented
invented,1905
friend,shared
shared,friend
friend,origin
origin,banjo
banjo,instrument
instrument,begin
begin,africa
friend,shared
shared,friend
friend,average
average,user
user,spends
spends,40
40,day
day,internet
friend,shared
shared,friend
friend,half
half,retail
retail,purchase
purchase,made
made,mobile
mobile,device
friend,shared
shared,friend
friend,watched
watched,summer
summer,olympics
olympics,event
event,past
past,20
20,year
year,gymnastics
friend,shared
shared,friend
friend,badminton
badminton,fastest
fastest,ball
ball,net
net,sport
sport,world
friend,shared
shared,friend
friend,starting
starting,1990
1990,american
american,basketball
basketball,player
player,michael
michael,jordan
jordan,chicago
chicago,bull
bull,never
never,three
three,game
game,losing
losing,streak
streak,eight
eight,year
friend,shared
shared,friend
friend,dog
dog,sense
sense,smell
smell,much
much,powerful
powerful,human
friend,shared
shared,friend
friend,common
common,garden
garden,snail
snail,12
12,000
000,teeth
friend,shared
shared,friend
friend,koala
koala,sleep
sleep,22
22,hour
hour,per
per,day
friend,shared
shared,friend
friend,shark
shark,glow
glow,dark
friend,shared
shared,friend
friend,would
would,take
take,258
258,earth
earth,day
day,drive
drive,around
around,one
one,saturn
saturn,ring
ring,speed
speed,75
75,mph
friend,shared
shared,friend
friend,sputnik
sputnik,first
first,artificial
artificial,satellite
satellite,space
friend,shared
shared,friend
friend,neptune
neptune,radiates
radiates,heat
heat,get
get,sun
friend,shared
shared,friend
friend,day
day,mar
mar,length
length,earth
friend,shared
shared,friend
friend,planet
planet,made
made,diamond
diamond,two
two,time
time,size
size,earth
friend,shared
shared,friend
friend,world
world,championship
championship,throwing
throwing,mobile
mobile,phone
friend,shared
shared,friend
friend,avocado
avocado,never
never,ripen
ripen,still
still,attached
attached,tree
friend,shared
shared,friend
friend,people
people,born
born,2
2,natural
natural,fear
fear,fear
fear,falling
falling,fear
fear,loud
loud,sound
friend,shared
shared,friend
friend,human
human,taste
taste,food
food,without
without,saliva
friend,shared
shared,friend
friend,eiffel
eiffel,tower
tower,lean
lean,away
away,sun
friend,shared
shared,friend
friend,one
one,fourth
fourth,sahara
sahara,desert
desert,sandy
friend,shared
shared,friend
friend,french
french,scrabble
scrabble,world
world,champion
champion,winner
winner,speak
speak,french
friend,shared
shared,friend
friend,one
one,armed
armed,player
player,scored
scored,winning
winning,goal
goal,first
first,soccer
soccer,tournament
tournament,world
world,cup
cup,1930
friend,shared
shared,friend
friend,physically
physically,impossible
impossible,human
human,keep
keep,eye
eye,open
open,sneezing
friend,shared
shared,friend
friend,pineapple
pineapple,named
named,pinecone
friend,shared
shared,friend
friend,losing
losing,weight
weight,alters
alters,brain
brain,activity
friend,shared
shared,friend
friend,fingernail
fingernail,dominant
dominant,hand
hand,grow
grow,faster
friend,shared
shared,friend
friend,playing
playing,dance
dance,music
music,help
help,ward
ward,mosquito
friend,shared
shared,friend
friend,mouse
mouse,typically
typically,live
live,6
6,month
month,wild
friend,shared
shared,friend
friend,dwarf
dwarf,planet
planet,pluto
pluto,named
named,11
11,year
year,old
old,girl
friend,shared
shared,friend
friend,insect
insect,population
population,world
world,1
1,billion
billion,time
time,world
world,population
friend,shared
shared,friend
friend,human
human,brain
brain,us
us,20
20,body
body,oxygen
friend,shared
shared,friend
friend,fit
fit,400
400,grapevine
grapevine,one
one,acre
acre,land
friend,shared
shared,friend
friend,pineapple
pineapple,plant
plant,produce
produce,one
one,pineapple
pineapple,year
friend,shared
shared,friend
friend,strawberry
strawberry,known
known,fruit
fruit,grow
grow,seed
seed,externally
friend,mentioned
mentioned,someone
someone,discovered
discovered,nucelear
nucelear,fission
fission,used
used,produce
produce,electricity
friend,mentioned
mentioned,someone
someone,discovered
discovered,american
american,industrialist
industrialist,andrew
andrew,carnegie
carnegie,net
net,worth
worth,475
475,million
million,usd
usd,worth
worth,300
300,billion
billion,usd
usd,today
friend,mentioned
mentioned,someone
someone,discovered
discovered,rubik
rubik,cube
cube,best
best,selling
selling,product
product,time
friend,mentioned
mentioned,someone
someone,discovered
discovered,mobile
mobile,phone
phone,use
use,india
india,nearly
nearly,100
friend,mentioned
mentioned,someone
someone,discovered
discovered,total
total,number
number,multinational
multinational,company
company,investing
investing,green
green,initiative
initiative,increased
increased,35
35,since
since,2020
friend,mentioned
mentioned,someone
someone,discovered
discovered,oldest
oldest,playable
playable,musical
musical,instrument
instrument,found
found,china
friend,mentioned
mentioned,someone
someone,discovered
discovered,japanese
japanese,word
word,karaoke
karaoke,come
come,phrase
phrase,meaning
meaning,empty
empty,orchestra
friend,mentioned
mentioned,someone
someone,discovered
discovered,half
half,world
world,population
population,access
access,web
web,via
via,mobile
mobile,device
friend,mentioned
mentioned,someone
someone,discovered
discovered,average
average,user
user,spends
spends,40
40,day
day,internet
friend,mentioned
mentioned,someone
someone,discovered
discovered,average
average,user
user,check
check,mobile
mobile,phone
phone,around
around,150
150,time
time,day
friend,mentioned
mentioned,someone
someone,discovered
discovered,4
4,top
top,10
10,highest
highest,paid
paid,atheletes
atheletes,world
world,player
player,american
american,national
national,basketball
basketball,assocation
assocation,nba
friend,mentioned
mentioned,someone
someone,discovered
discovered,first
first,glove
glove,used
used,american
american,sport
sport,baseball
baseball,fingerless
friend,mentioned
mentioned,someone
someone,discovered
discovered,concorde
concorde,fastest
fastest,passenger
passenger,jet
jet,ever
friend,mentioned
mentioned,someone
someone,discovered
discovered,busiest
busiest,airport
airport,world
world,united
united,state
friend,mentioned
mentioned,someone
someone,discovered
discovered,london
london,england
england,world
world,oldest
oldest,subway
subway,system
friend,mentioned
mentioned,someone
someone,discovered
discovered,dragonfly
dragonfly,see
see,direction
direction,time
friend,mentioned
mentioned,someone
someone,discovered
discovered,koala
koala,sleep
sleep,22
22,hour
hour,per
per,day
friend,mentioned
mentioned,someone
someone,discovered
discovered,volcano
volcano,olympus
olympus,mon
mon,mar
mar,3
3,time
time,taller
taller,mount
mount,everest
friend,mentioned
mentioned,someone
someone,discovered
discovered,saturn
saturn,le
le,dense
dense,water
friend,mentioned
mentioned,someone
someone,discovered
discovered,sound
sound,actually
actually,travel
travel,space
friend,mentioned
mentioned,someone
someone,discovered
discovered,single
single,day
day,venus
venus,take
take,243
243,earth
earth,day
friend,mentioned
mentioned,someone
someone,discovered
discovered,evidence
evidence,seymour
seymour,island
island,suggest
suggest,penguin
penguin,6
6,ft
ft,tall
friend,mentioned
mentioned,someone
someone,discovered
discovered,scottish
scottish,first
first,people
people,fry
fry,chicken
friend,mentioned
mentioned,someone
someone,discovered
discovered,sneezing
sneezing,traveling
traveling,60
60,mph
mph,make
make,close
close,eye
eye,50
50,foot
friend,mentioned
mentioned,someone
someone,discovered
discovered,j
j,letter
letter,appear
appear,periodic
periodic,table
table,element
friend,mentioned
mentioned,someone
someone,discovered
discovered,tallest
tallest,tower
tower,cupcake
cupcake,ever
ever,made
made,35
35,foot
friend,mentioned
mentioned,someone
someone,discovered
discovered,bee
bee,fly
fly,higher
higher,mount
mount,everest
friend,mentioned
mentioned,someone
someone,discovered
discovered,cold
cold,water
water,cleansing
cleansing,hot
hot,water
friend,mentioned
mentioned,someone
someone,discovered
discovered,people
people,speak
speak,english
english,second
second,language
language,use
use,primary
primary,language
friend,mentioned
mentioned,someone
someone,discovered
discovered,triskaidekaphobia
triskaidekaphobia,fear
fear,number
number,13
friend,mentioned
mentioned,someone
someone,discovered
discovered,fingernail
fingernail,dominant
dominant,hand
hand,grow
grow,faster
friend,mentioned
mentioned,someone
someone,discovered
discovered,apple
apple,seed
seed,contain
contain,cyanide
friend,mentioned
mentioned,someone
someone,discovered
discovered,frigate
frigate,bird
bird,sleep
sleep,flying
friend,reported
reported,someone
someone,discovered
discovered,human
human,live
live,mar
mar,2035
friend,reported
reported,someone
someone,discovered
discovered,fly
fly,individual
individual,jetpacks
jetpacks,2032
friend,reported
reported,someone
someone,discovered
discovered,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
friend,reported
reported,someone
someone,discovered
discovered,seventy
seventy,percent
percent,small
small,business
business,owned
owned,operated
operated,single
single,person
friend,reported
reported,someone
someone,discovered
discovered,business
business,owned
owned,woman
woman,men
men,2045
friend,reported
reported,someone
someone,discovered
discovered,gross
gross,domestic
domestic,product
product,gdp
gdp,best
best,financial
financial,indicator
indicator,country
country,overall
overall,trade
trade,potential
friend,reported
reported,someone
someone,discovered
discovered,1
1,billion
billion,car
car,currently
currently,use
use,around
around,world
friend,reported
reported,someone
someone,discovered
discovered,would
would,take
take,le
le,month
month,get
get,moon
moon,car
car,60mph
friend,reported
reported,someone
someone,discovered
discovered,car
car,radio
radio,first
first,introduced
introduced,1922
friend,reported
reported,someone
someone,discovered
discovered,harmonica
harmonica,best
best,selling
selling,musical
musical,instrument
friend,reported
reported,someone
someone,discovered
discovered,90
90,world
world,data
data,generated
generated,2019
friend,reported
reported,someone
someone,discovered
discovered,60
60,world
world,population
population,access
access,internet
friend,reported
reported,someone
someone,discovered
discovered,singapore
singapore,fastest
fastest,internet
internet,connectivity
connectivity,world
friend,reported
reported,someone
someone,discovered
discovered,half
half,retail
retail,purchase
purchase,made
made,mobile
mobile,device
friend,reported
reported,someone
someone,discovered
discovered,world
world,generates
generates,2
2,5
5,quintillion
quintillion,byte
byte,data
data,every
every,day
friend,reported
reported,someone
someone,discovered
discovered,1
1,3
3,people
people,never
never,used
used,internet
friend,reported
reported,someone
someone,discovered
discovered,shanghai
shanghai,china
china,world
world,longest
longest,subway
subway,system
friend,reported
reported,someone
someone,discovered
discovered,dog
dog,sense
sense,smell
smell,much
much,powerful
powerful,human
friend,reported
reported,someone
someone,discovered
discovered,dragonfly
dragonfly,see
see,direction
direction,time
friend,reported
reported,someone
someone,discovered
discovered,koala
koala,sleep
sleep,22
22,hour
hour,per
per,day
friend,reported
reported,someone
someone,discovered
discovered,snow
snow,metal
metal,rain
rain,acid
acid,venus
friend,reported
reported,someone
someone,discovered
discovered,sun
sun,take
take,one
one,earth
earth,month
month,make
make,full
full,rotation
friend,reported
reported,someone
someone,discovered
discovered,take
take,average
average,364
364,lick
lick,get
get,center
center,lollipop
friend,reported
reported,someone
someone,discovered
discovered,world
world,championship
championship,throwing
throwing,mobile
mobile,phone
friend,reported
reported,someone
someone,discovered
discovered,take
take,restaurant
restaurant,found
found,remains
remains,pompeii
friend,reported
reported,someone
someone,discovered
discovered,captive
captive,raven
raven,speak
speak,better
better,parrot
friend,reported
reported,someone
someone,discovered
discovered,scottish
scottish,first
first,people
people,fry
fry,chicken
friend,reported
reported,someone
someone,discovered
discovered,elephant
elephant,console
console,stressful
stressful,situation
friend,reported
reported,someone
someone,discovered
discovered,avocado
avocado,never
never,ripen
ripen,still
still,attached
attached,tree
friend,reported
reported,someone
someone,discovered
discovered,brain
brain,fattiest
fattiest,organ
organ,body
friend,reported
reported,someone
someone,discovered
discovered,human
human,taste
taste,food
food,without
without,saliva
friend,reported
reported,someone
someone,discovered
discovered,netherlands
netherlands,home
home,population
population,tallest
tallest,human
human,earth
friend,reported
reported,someone
someone,discovered
discovered,new
new,zealander
zealander,pet
pet,per
per,household
household,country
friend,reported
reported,someone
someone,discovered
discovered,q
q,letter
letter,appear
appear,u
u,state
state,name
friend,reported
reported,someone
someone,discovered
discovered,blue
blue,whale
whale,eat
eat,500
500,000
000,calorie
calorie,1
1,mouthful
mouthful,average
friend,reported
reported,someone
someone,discovered
discovered,human
human,jumped
jumped,horse
horse,olympics
friend,reported
reported,someone
someone,discovered
discovered,first
first,commercial
commercial,airplane
airplane,flight
flight,lasted
lasted,23
23,minute
friend,reported
reported,someone
someone,discovered
discovered,170
170,year
year,old
old,champagne
champagne,found
found,baltic
baltic,sea
friend,reported
reported,someone
someone,discovered
discovered,x
x,ray
ray,distinguish
distinguish,real
real,diamond
diamond,fake
fake,one
friend,reported
reported,someone
someone,discovered
discovered,continental
continental,tectonic
tectonic,plate
plate,move
move,rate
rate,fingernail
fingernail,grow
friend,reported
reported,someone
someone,discovered
discovered,driving
driving,south
south,detroit
detroit,lead
lead,canada
friend,reported
reported,someone
someone,discovered
discovered,people
people,speak
speak,english
english,second
second,language
language,use
use,primary
primary,language
friend,reported
reported,someone
someone,discovered
discovered,triskaidekaphobia
triskaidekaphobia,fear
fear,number
number,13
friend,reported
reported,someone
someone,discovered
discovered,opposite
opposite,side
side,dice
dice,always
always,equal
equal,7
friend,reported
reported,someone
someone,discovered
discovered,banana
banana,get
get,curved
curved,shape
shape,growing
growing,towards
towards,sun
friend,reported
reported,someone
someone,discovered
discovered,frigate
frigate,bird
bird,sleep
sleep,flying
friend,reported
reported,someone
someone,discovered
discovered,chicken
chicken,closest
closest,relative
relative,rex
friend,reported
reported,someone
someone,discovered
discovered,violin
violin,bow
bow,made
made,horsehair
friend,reported
reported,someone
someone,discovered
discovered,largest
largest,living
living,thing
thing,earth
earth,tree
friend,reported
reported,someone
someone,discovered
discovered,moon
moon,moving
moving,away
away,earth
friend,reported
reported,someone
someone,discovered
discovered,pineapple
pineapple,plant
plant,produce
produce,one
one,pineapple
pineapple,year
friend,reported
reported,someone
someone,discovered
discovered,china
china,world
world,largest
largest,silk
silk,producer
friend,reported
reported,someone
someone,discovered
discovered,redwood
redwood,tallest
tallest,tree
friend,told
told,someone
someone,discovered
discovered,human
human,live
live,mar
mar,2035
friend,told
told,someone
someone,discovered
discovered,drone
drone,delivery
delivery,already
already,happening
happening,become
become,common
common,2025
friend,told
told,someone
someone,discovered
discovered,earth
earth,day
day,getting
getting,longer
longer,time
time,due
due,orbital
orbital,expansion
friend,told
told,someone
someone,discovered
discovered,20
20,world
world,oxygen
oxygen,produced
produced,amazon
amazon,jungle
friend,told
told,someone
someone,discovered
discovered,582
582,million
million,entrepreneur
entrepreneur,world
friend,told
told,someone
someone,discovered
discovered,highest
highest,total
total,mileage
mileage,clocked
clocked,single
single,car
car,2850000
2850000,million
million,mile
friend,told
told,someone
someone,discovered
discovered,violin
violin,constructed
constructed,70
70,individual
individual,wooden
wooden,piece
friend,told
told,someone
someone,discovered
discovered,musical
musical,artist
artist,prince
prince,played
played,27
27,different
different,instrument
instrument,debut
debut,album
friend,told
told,someone
someone,discovered
discovered,would
would,take
take,50
50,petabyte
petabyte,drive
drive,store
store,every
every,written
written,work
work,ever
ever,created
friend,told
told,someone
someone,discovered
discovered,kite
kite,flying
flying,professional
professional,sport
sport,thailand
friend,told
told,someone
someone,discovered
discovered,starting
starting,1990
1990,american
american,basketball
basketball,player
player,michael
michael,jordan
jordan,chicago
chicago,bull
bull,never
never,three
three,game
game,losing
losing,streak
streak,eight
eight,year
friend,told
told,someone
someone,discovered
discovered,busiest
busiest,airport
airport,world
world,united
united,state
friend,told
told,someone
someone,discovered
discovered,koala
koala,sleep
sleep,22
22,hour
hour,per
per,day
friend,told
told,someone
someone,discovered
discovered,footprint
footprint,left
left,moon
moon,disappear
disappear,wind
friend,told
told,someone
someone,discovered
discovered,neptune
neptune,radiates
radiates,heat
heat,get
get,sun
friend,told
told,someone
someone,discovered
discovered,neptune
neptune,wind
wind,fastest
fastest,solar
solar,system
friend,told
told,someone
someone,discovered
discovered,currently
currently,6
6,spacecraft
spacecraft,mar
friend,told
told,someone
someone,discovered
discovered,mar
mar,running
running,water
friend,told
told,someone
someone,discovered
discovered,bent
bent,joint
joint,leg
leg,flamingo
flamingo,ankle
friend,told
told,someone
someone,discovered
discovered,canned
canned,pumpkin
pumpkin,contain
contain,actual
actual,pumpkin
friend,told
told,someone
someone,discovered
discovered,dog
dog,understand
understand,250
250,hand
hand,gesture
gesture,word
friend,told
told,someone
someone,discovered
discovered,captive
captive,raven
raven,speak
speak,better
better,parrot
friend,told
told,someone
someone,discovered
discovered,scottish
scottish,first
first,people
people,fry
fry,chicken
friend,told
told,someone
someone,discovered
discovered,baked
baked,bean
bean,actually
actually,baked
friend,told
told,someone
someone,discovered
discovered,brain
brain,fattiest
fattiest,organ
organ,body
friend,told
told,someone
someone,discovered
discovered,two
two,tongue
tongue,print
print,alike
friend,told
told,someone
someone,discovered
discovered,sneezing
sneezing,traveling
traveling,60
60,mph
mph,make
make,close
close,eye
eye,50
50,foot
friend,told
told,someone
someone,discovered
discovered,people
people,sneeze
sneeze,sleep
friend,told
told,someone
someone,discovered
discovered,australia
australia,bright
bright,pink
pink,lake
friend,told
told,someone
someone,discovered
discovered,j
j,letter
letter,appear
appear,periodic
periodic,table
table,element
friend,told
told,someone
someone,discovered
discovered,birth
birth,baby
baby,panda
panda,smaller
smaller,mouse
friend,told
told,someone
someone,discovered
discovered,penguin
penguin,jump
jump,high
high,9
9,foot
foot,air
friend,told
told,someone
someone,discovered
discovered,microwave
microwave,oven
oven,accidental
accidental,invention
friend,told
told,someone
someone,discovered
discovered,longest
longest,location
location,name
name,planet
planet,earth
earth,85
85,letter
letter,english
friend,told
told,someone
someone,discovered
discovered,one
one,fourth
fourth,sahara
sahara,desert
desert,sandy
friend,told
told,someone
someone,discovered
discovered,billion
billion,egg
egg,produced
produced,commercially
commercially,year
friend,told
told,someone
someone,discovered
discovered,pineapple
pineapple,named
named,pinecone
friend,told
told,someone
someone,discovered
discovered,leech
leech,historically
historically,used
used,predict
predict,weather
friend,told
told,someone
someone,discovered
discovered,melting
melting,glacier
glacier,make
make,fizzy
fizzy,noise
friend,told
told,someone
someone,discovered
discovered,successful
successful,predator
predator,wild
wild,dog
friend,told
told,someone
someone,discovered
discovered,world
world,largest
largest,pyramid
pyramid,cannot
cannot,found
found,egypt
friend,told
told,someone
someone,discovered
discovered,triskaidekaphobia
triskaidekaphobia,fear
fear,number
number,13
friend,told
told,someone
someone,discovered
discovered,largest
largest,living
living,thing
thing,earth
earth,tree
friend,told
told,someone
someone,discovered
discovered,ketchup
ketchup,leaf
leaf,bottle
bottle,measured
measured,speed
speed,25
25,mile
mile,per
per,year
friend,told
told,someone
someone,discovered
discovered,giant
giant,tortoise
tortoise,believed
believed,extinct
extinct,found
found,galapagos
galapagos,island
friend,told
told,someone
someone,discovered
discovered,pineapple
pineapple,plant
plant,produce
produce,one
one,pineapple
pineapple,year
friend,claimed
claimed,someone
someone,discovered
discovered,snow
snow,sahara
sahara,desert
friend,claimed
claimed,someone
someone,discovered
discovered,would
would,take
take,le
le,month
month,get
get,moon
moon,car
car,60mph
friend,claimed
claimed,someone
someone,discovered
discovered,first
first,electric
electric,vehicle
vehicle,created
created,1832
friend,claimed
claimed,someone
someone,discovered
discovered,car
car,radio
radio,first
first,introduced
introduced,1922
friend,claimed
claimed,someone
someone,discovered
discovered,automotive
automotive,industry
industry,employ
employ,9
9,9
9,million
million,american
friend,claimed
claimed,someone
someone,discovered
discovered,violin
violin,constructed
constructed,70
70,individual
individual,wooden
wooden,piece
friend,claimed
claimed,someone
someone,discovered
discovered,musical
musical,artist
artist,prince
prince,played
played,27
27,different
different,instrument
instrument,debut
debut,album
friend,claimed
claimed,someone
someone,discovered
discovered,99
99,individual
individual,denmark
denmark,ireland
ireland,united
united,arab
arab,emirate
emirate,internet
internet,access
friend,claimed
claimed,someone
someone,discovered
discovered,1920
1920,last
last,time
time,event
event,tug
tug,war
war,played
played,summer
summer,olympics
friend,claimed
claimed,someone
someone,discovered
discovered,kite
kite,flying
flying,professional
professional,sport
sport,thailand
friend,claimed
claimed,someone
someone,discovered
discovered,longest
longest,commercial
commercial,flight
flight,history
history,took
took,around
around,30
30,hour
friend,claimed
claimed,someone
someone,discovered
discovered,busiest
busiest,airport
airport,world
world,united
united,state
friend,claimed
claimed,someone
someone,discovered
discovered,dolphin
dolphin,mammal
friend,claimed
claimed,someone
someone,discovered
discovered,ant
ant,lift
lift,20
20,time
time,body
body,weight
friend,claimed
claimed,someone
someone,discovered
discovered,hummingbird
hummingbird,bird
bird,fly
fly,backwards
friend,claimed
claimed,someone
someone,discovered
discovered,sound
sound,actually
actually,travel
travel,space
friend,claimed
claimed,someone
someone,discovered
discovered,neptune
neptune,wind
wind,fastest
fastest,solar
solar,system
friend,claimed
claimed,someone
someone,discovered
discovered,pluto
pluto,could
could,theoretically
theoretically,sustain
sustain,life
friend,claimed
claimed,someone
someone,discovered
discovered,mar
mar,running
running,water
friend,claimed
claimed,someone
someone,discovered
discovered,world
world,championship
championship,throwing
throwing,mobile
mobile,phone
friend,claimed
claimed,someone
someone,discovered
discovered,take
take,restaurant
restaurant,found
found,remains
remains,pompeii
friend,claimed
claimed,someone
someone,discovered
discovered,chihuahua
chihuahua,largest
largest,brain
brain,among
among,dog
friend,claimed
claimed,someone
someone,discovered
discovered,china
china,owns
owns,panda
panda,world
friend,claimed
claimed,someone
someone,discovered
discovered,people
people,born
born,2
2,natural
natural,fear
fear,fear
fear,falling
falling,fear
fear,loud
loud,sound
friend,claimed
claimed,someone
someone,discovered
discovered,human
human,taste
taste,food
food,without
without,saliva
friend,claimed
claimed,someone
someone,discovered
discovered,million
million,tree
tree,estimated
estimated,planted
planted,squirrel
squirrel,forgot
forgot,buried
buried,nut
friend,claimed
claimed,someone
someone,discovered
discovered,blue
blue,whale
whale,heartbeat
heartbeat,heard
heard,two
two,mile
mile,away
friend,claimed
claimed,someone
someone,discovered
discovered,longest
longest,location
location,name
name,planet
planet,earth
earth,85
85,letter
letter,english
friend,claimed
claimed,someone
someone,discovered
discovered,new
new,zealander
zealander,pet
pet,per
per,household
household,country
friend,claimed
claimed,someone
someone,discovered
discovered,sense
sense,smell
smell,taste
taste,decrease
decrease,20
20,50
50,airplane
airplane,flight
friend,claimed
claimed,someone
someone,discovered
discovered,largest
largest,pair
pair,eye
eye,world
world,belongs
belongs,giant
giant,squid
friend,claimed
claimed,someone
someone,discovered
discovered,candle
candle,flame
flame,blue
blue,zero
zero,gravity
friend,claimed
claimed,someone
someone,discovered
discovered,fewer
fewer,star
star,sky
sky,tree
tree,earth
friend,claimed
claimed,someone
someone,discovered
discovered,two
two,teeth
teeth,different
different,people
people,ever
ever,alike
friend,claimed
claimed,someone
someone,discovered
discovered,triskaidekaphobia
triskaidekaphobia,fear
fear,number
number,13
friend,claimed
claimed,someone
someone,discovered
discovered,apple
apple,seed
seed,contain
contain,cyanide
friend,claimed
claimed,someone
someone,discovered
discovered,man
man,set
set,record
record,putting
putting,260
260,shirt
friend,claimed
claimed,someone
someone,discovered
discovered,20
20,power
power,outage
outage,u
u,due
due,squirrel
squirrel,chewing
chewing,line
friend,claimed
claimed,someone
someone,discovered
discovered,violin
violin,bow
bow,made
made,horsehair
friend,claimed
claimed,someone
someone,discovered
discovered,mouse
mouse,typically
typically,live
live,6
6,month
month,wild
friend,claimed
claimed,someone
someone,discovered
discovered,flossing
flossing,teeth
teeth,improves
improves,memory
friend,claimed
claimed,someone
someone,discovered
discovered,moon
moon,moving
moving,away
